scenario,intersections,layman_description,volume,queue_length,avg_speed
rush_hour,"C,D,A,B","Simulate heavy traffic during morning rush hour at C, D, A, B.",66,41,40
accident,"D,A","A sudden accident is affecting traffic at D, A.",81,52,12
rush_hour,"C,B,A,D","Simulate heavy traffic during morning rush hour at C, B, A, D.",65,52,38
rain,"C,B","Rain is slowing down vehicles at C, B.",44,29,23
rain,"D,B,C,A","Rain is slowing down vehicles at D, B, C, A.",100,19,16
event_day,"D,A","A big event is causing traffic at D, A.",125,49,22
event_day,"B,A,C","A big event is causing traffic at B, A, C.",74,41,15
accident,"A,B","A sudden accident is affecting traffic at A, B.",56,54,28
rush_hour,"C,A,D,B","Simulate heavy traffic during morning rush hour at C, A, D, B.",99,29,21
rush_hour,"B,C","Simulate heavy traffic during morning rush hour at B, C.",63,32,34
rain,"B,D,C,A","Rain is slowing down vehicles at B, D, C, A.",78,47,8
event_day,"D,A,B","A big event is causing traffic at D, A, B.",102,25,19
accident,"C,D,B,A","A sudden accident is affecting traffic at C, D, B, A.",83,58,6
rain,"B,C","Rain is slowing down vehicles at B, C.",82,39,7
off_peak,"A,B,D","Low traffic flow at A, B, D.",90,11,38
accident,"C,A,D,B","A sudden accident is affecting traffic at C, A, D, B.",42,31,27
accident,"C,B,D","A sudden accident is affecting traffic at C, B, D.",86,42,16
rain,"D,C","Rain is slowing down vehicles at D, C.",85,13,17
rush_hour,"A,B,C","Simulate heavy traffic during morning rush hour at A, B, C.",98,37,27
accident,"A,C","A sudden accident is affecting traffic at A, C.",68,31,10
event_day,"A,C","A big event is causing traffic at A, C.",114,30,30
rush_hour,"C,A,B","Simulate heavy traffic during morning rush hour at C, A, B.",71,55,25
event_day,"D,A,C,B","A big event is causing traffic at D, A, C, B.",83,34,15
off_peak,"B,C,A,D","Low traffic flow at B, C, A, D.",92,22,26
rush_hour,"D,B,A,C","Simulate heavy traffic during morning rush hour at D, B, A, C.",104,37,34
off_peak,"A,C","Low traffic flow at A, C.",52,49,39
event_day,"D,C,A","A big event is causing traffic at D, C, A.",74,41,18
off_peak,"A,D,C","Low traffic flow at A, D, C.",80,24,30
accident,"C,D","A sudden accident is affecting traffic at C, D.",59,65,21
rush_hour,"C,B,D","Simulate heavy traffic during morning rush hour at C, B, D.",100,45,20
accident,"C,D","A sudden accident is affecting traffic at C, D.",40,65,26
off_peak,"D,B,C","Low traffic flow at D, B, C.",98,10,17
event_day,"B,C,A","A big event is causing traffic at B, C, A.",107,63,31
off_peak,"B,D,C,A","Low traffic flow at B, D, C, A.",65,10,36
rush_hour,"D,A,C,B","Simulate heavy traffic during morning rush hour at D, A, C, B.",117,46,30
event_day,"A,D,B,C","A big event is causing traffic at A, D, B, C.",94,35,26
rain,"C,D,B","Rain is slowing down vehicles at C, D, B.",40,48,12
event_day,"D,B","A big event is causing traffic at D, B.",125,34,25
rush_hour,"B,A","Simulate heavy traffic during morning rush hour at B, A.",89,28,17
event_day,"B,A,D","A big event is causing traffic at B, A, D.",88,40,18
rain,"D,C","Rain is slowing down vehicles at D, C.",85,40,7
rain,"B,A","Rain is slowing down vehicles at B, A.",59,23,18
rain,"D,C,B","Rain is slowing down vehicles at D, C, B.",68,47,22
off_peak,"C,D,B","Low traffic flow at C, D, B.",44,15,30
accident,"B,A,C,D","A sudden accident is affecting traffic at B, A, C, D.",74,64,7
rush_hour,"A,D","Simulate heavy traffic during morning rush hour at A, D.",72,27,31
event_day,"D,B","A big event is causing traffic at D, B.",77,43,28
rush_hour,"D,B,C","Simulate heavy traffic during morning rush hour at D, B, C.",102,40,25
off_peak,"D,B,A,C","Low traffic flow at D, B, A, C.",69,33,17
off_peak,"A,B","Low traffic flow at A, B.",97,28,31
accident,"B,A,D","A sudden accident is affecting traffic at B, A, D.",43,68,27
accident,"B,D","A sudden accident is affecting traffic at B, D.",73,61,20
accident,"A,D,C,B","A sudden accident is affecting traffic at A, D, C, B.",53,70,23
rain,"D,B,A,C","Rain is slowing down vehicles at D, B, A, C.",94,18,26
accident,"C,B,A,D","A sudden accident is affecting traffic at C, B, A, D.",50,66,5
off_peak,"B,C","Low traffic flow at B, C.",88,16,21
off_peak,"B,A,C","Low traffic flow at B, A, C.",78,33,18
off_peak,"A,C,D","Low traffic flow at A, C, D.",88,13,23
rush_hour,"B,D","Simulate heavy traffic during morning rush hour at B, D.",61,60,35
off_peak,"B,A,D","Low traffic flow at B, A, D.",91,28,40
rain,"D,A","Rain is slowing down vehicles at D, A.",46,30,16
rush_hour,"A,B,D","Simulate heavy traffic during morning rush hour at A, B, D.",107,52,39
accident,"D,C","A sudden accident is affecting traffic at D, C.",65,55,20
rush_hour,"A,D,B","Simulate heavy traffic during morning rush hour at A, D, B.",69,29,31
event_day,"C,D,A,B","A big event is causing traffic at C, D, A, B.",82,53,16
rush_hour,"D,A,C","Simulate heavy traffic during morning rush hour at D, A, C.",105,36,37
accident,"B,C,D,A","A sudden accident is affecting traffic at B, C, D, A.",69,42,18
event_day,"C,D,B","A big event is causing traffic at C, D, B.",112,38,28
event_day,"B,A,C,D","A big event is causing traffic at B, A, C, D.",86,56,21
off_peak,"A,B,D","Low traffic flow at A, B, D.",64,41,39
off_peak,"A,D","Low traffic flow at A, D.",64,50,18
accident,"C,A,B","A sudden accident is affecting traffic at C, A, B.",76,43,14
